# E_nu E_X E_l Pl_x Pl_y Pl_z vtx_x vtx_y vtx_z w
10000 5000 10000 0 10000 0 0 -1000 0 3e-9
10000 5000 10000 0 10000 0 0 -2000 0 3e-9
10000 5000 10000 0 10000 0 0 -3000 0 3e-9
10000 5000 10000 0 10000 0 0 -4000 0 3e-9
10000 5000 10000 0 10000 0 0 -5000 0 3e-9
10000 5000 10000 0 10000 0 0 -6000 0 3e-9
10000 5000 10000 0 10000 0 0 -7000 0 3e-9
10000 5000 10000 0 10000 0 0 -8000 0 3e-9
10000 5000 10000 0 10000 0 0 -9000 0 3e-9
10000 5000 10000 0 10000 0 0 -10000 0 3e-9
10000 5000 10000 0 10000 0 0 -1000 0 3e-9
10000 5000 10000 0 10000 0 0 -2000 0 3e-9
10000 5000 10000 0 10000 0 0 -3000 0 3e-9
10000 5000 10000 0 10000 0 0 -4000 0 3e-9
10000 5000 10000 0 10000 0 0 -5000 0 3e-9
10000 5000 10000 0 10000 0 0 -6000 0 3e-9
10000 5000 10000 0 10000 0 0 -7000 0 3e-9
10000 5000 10000 0 10000 0 0 -8000 0 3e-9
10000 5000 10000 0 10000 0 0 -9000 0 3e-9
10000 5000 10000 0 10000 0 0 -10000 0 3e-9
10000 5000 10000 0 10000 0 0 -1000 0 3e-9
10000 5000 10000 0 10000 0 0 -2000 0 3e-9
10000 5000 10000 0 10000 0 0 -3000 0 3e-9
10000 5000 10000 0 10000 0 0 -4000 0 3e-9
10000 5000 10000 0 10000 0 0 -5000 0 3e-9
10000 5000 10000 0 10000 0 0 -6000 0 3e-9
10000 5000 10000 0 10000 0 0 -7000 0 3e-9
10000 5000 10000 0 10000 0 0 -8000 0 3e-9
10000 5000 10000 0 10000 0 0 -9000 0 3e-9
10000 5000 10000 0 10000 0 0 -10000 0 3e-9
10000 5000 10000 0 10000 0 0 -1000 0 3e-9
10000 5000 10000 0 10000 0 0 -2000 0 3e-9
10000 5000 10000 0 10000 0 0 -3000 0 3e-9
10000 5000 10000 0 10000 0 0 -4000 0 3e-9
10000 5000 10000 0 10000 0 0 -5000 0 3e-9
10000 5000 10000 0 10000 0 0 -6000 0 3e-9
10000 5000 10000 0 10000 0 0 -7000 0 3e-9
10000 5000 10000 0 10000 0 0 -8000 0 3e-9
10000 5000 10000 0 10000 0 0 -9000 0 3e-9
10000 5000 10000 0 10000 0 0 -10000 0 3e-9
10000 5000 10000 0 10000 0 0 -1000 0 3e-9
10000 5000 10000 0 10000 0 0 -2000 0 3e-9
10000 5000 10000 0 10000 0 0 -3000 0 3e-9
10000 5000 10000 0 10000 0 0 -4000 0 3e-9
10000 5000 10000 0 10000 0 0 -5000 0 3e-9
10000 5000 10000 0 10000 0 0 -6000 0 3e-9
10000 5000 10000 0 10000 0 0 -7000 0 3e-9
10000 5000 10000 0 10000 0 0 -8000 0 3e-9
10000 5000 10000 0 10000 0 0 -9000 0 3e-9
10000 5000 10000 0 10000 0 0 -10000 0 3e-9
10000 5000 10000 0 10000 0 0 -1000 0 3e-9
10000 5000 10000 0 10000 0 0 -2000 0 3e-9
10000 5000 10000 0 10000 0 0 -3000 0 3e-9
10000 5000 10000 0 10000 0 0 -4000 0 3e-9
10000 5000 10000 0 10000 0 0 -5000 0 3e-9
10000 5000 10000 0 10000 0 0 -6000 0 3e-9
10000 5000 10000 0 10000 0 0 -7000 0 3e-9
10000 5000 10000 0 10000 0 0 -8000 0 3e-9
10000 5000 10000 0 10000 0 0 -9000 0 3e-9
10000 5000 10000 0 10000 0 0 -10000 0 3e-9
10000 5000 10000 0 10000 0 0 -1000 0 3e-9
10000 5000 10000 0 10000 0 0 -2000 0 3e-9
10000 5000 10000 0 10000 0 0 -3000 0 3e-9
10000 5000 10000 0 10000 0 0 -4000 0 3e-9
10000 5000 10000 0 10000 0 0 -5000 0 3e-9
10000 5000 10000 0 10000 0 0 -6000 0 3e-9
10000 5000 10000 0 10000 0 0 -7000 0 3e-9
10000 5000 10000 0 10000 0 0 -8000 0 3e-9
10000 5000 10000 0 10000 0 0 -9000 0 3e-9
10000 5000 10000 0 10000 0 0 -10000 0 3e-9
10000 5000 10000 0 10000 0 0 -1000 0 3e-9
10000 5000 10000 0 10000 0 0 -2000 0 3e-9
10000 5000 10000 0 10000 0 0 -3000 0 3e-9
10000 5000 10000 0 10000 0 0 -4000 0 3e-9
10000 5000 10000 0 10000 0 0 -5000 0 3e-9
10000 5000 10000 0 10000 0 0 -6000 0 3e-9
10000 5000 10000 0 10000 0 0 -7000 0 3e-9
10000 5000 10000 0 10000 0 0 -8000 0 3e-9
10000 5000 10000 0 10000 0 0 -9000 0 3e-9
