# E_nu E_X E_l Pl_x Pl_y Pl_z vtx_x vtx_y vtx_z mu_propagated_dist vtx_dist_to_detector E_mu_at_detector w
10000 5000 10000 0 10000 0 0 -1000 0 3222.01 1000 4803.9 3e-09
10000 5000 10000 0 10000 0 0 -2000 0 2848.32 2000 822.556 3e-09
10000 5000 10000 0 10000 0 0 -3000 0 2045.07 3000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -4000 0 2347.7 4000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -5000 0 1400.23 5000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -6000 0 3091.6 6000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -7000 0 2060.09 7000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -8000 0 1948.19 8000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -9000 0 1218.51 9000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -10000 0 1736.79 10000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -1000 0 1951.38 1000 981.804 3e-09
10000 5000 10000 0 10000 0 0 -2000 0 2831.93 2000 997.739 3e-09
10000 5000 10000 0 10000 0 0 -3000 0 1589.87 3000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -4000 0 1680.29 4000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -5000 0 2089.76 5000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -6000 0 1840.21 6000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -7000 0 2817.89 7000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -8000 0 3398.46 8000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -9000 0 2513.17 9000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -10000 0 2987.42 10000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -1000 0 2719.71 1000 2416.81 3e-09
10000 5000 10000 0 10000 0 0 -2000 0 2481.29 2000 846.205 3e-09
10000 5000 10000 0 10000 0 0 -3000 0 2577.87 3000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -4000 0 1862.41 4000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -5000 0 2442.04 5000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -6000 0 2043.05 6000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -7000 0 2722.98 7000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -8000 0 1956.83 8000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -9000 0 1673.31 9000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -10000 0 3156.42 10000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -1000 0 2360.37 1000 2950.66 3e-09
10000 5000 10000 0 10000 0 0 -2000 0 2684.47 2000 610.745 3e-09
10000 5000 10000 0 10000 0 0 -3000 0 3136.23 3000 258.942 3e-09
10000 5000 10000 0 10000 0 0 -4000 0 2463.88 4000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -5000 0 2811.38 5000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -6000 0 1962.52 6000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -7000 0 2244.13 7000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -8000 0 3280.93 8000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -9000 0 2484.58 9000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -10000 0 2411.72 10000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -1000 0 1391.07 1000 1763.36 3e-09
10000 5000 10000 0 10000 0 0 -2000 0 2870.1 2000 734.674 3e-09
10000 5000 10000 0 10000 0 0 -3000 0 1891.12 3000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -4000 0 3200.97 4000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -5000 0 1241 5000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -6000 0 1377.51 6000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -7000 0 2783.55 7000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -8000 0 2308.28 8000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -9000 0 1306.67 9000 0.105658 3e-09
